date,title,description,type,*
2023-02-1 12:12:11,Active Directory,Connexion à l'active directory <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,connexion,*
2023-02-1 12:12:27,Unité d'Organisation,Ajout de l'unité d'organisation <b>Test</b>,addOU,*
2023-02-1 12:12:54,Utilisateur,Ajout de l'utilisateur <b>Qfqzqzf Qzfqzfqzf</b> à l'unité d'organisation Test,addUser,*
2023-02-1 12:13:06,Utilisateur,Modification de l'utilisateur <b>Qfqzqzf Qzfqzfqzf</b>,editUser,*
2023-02-1 12:13:08,Utilisateur,Suppression de l'utilisateur <b>Qzfqzfqzf Qfqzqzf</b> de l'unité d'organisation Test,deleteUser,*
2023-02-1 12:13:24,Unité d'Organisation,Suppression de l'unité d'organisation <b>Test</b>,deleteOU,*
2023-02-1 12:13:50,Active Directory,Déconnexion de l'active directory <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,deconnexion,*
2023-02-1 13:02:03,Active Directory,Connexion à l'active directory <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,connexion,*
2023-02-1 14:34:52,Unité d'Organisation,Ajout de l'unité d'organisation <b>Test</b>,addOU,*
2023-02-1 14:34:57,Unité d'Organisation,Suppression de l'unité d'organisation <b>Test</b>,deleteOU,*
2023-02-1 14:35:48,Utilisateur,Ajout de l'utilisateur <b>Qzfqzf Qzfqzf</b> à l'unité d'organisation Eponia,addUser,*
2023-02-1 14:36:07,Utilisateur,Modification de l'utilisateur <b>Qzfqzf Qzfqzf</b>,editUser,*
2023-02-1 14:36:51,Active Directory,Déconnexion de l'active directory <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,deconnexion,*
2023-02-1 14:37:01,Active Directory,Connexion à l'active directory <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,connexion,*
2023-02-1 14:42:31,Utilisateur,Suppression de l'utilisateur <b>Qzfqzf Qzfqzf</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 10:52:55,Active Directory,Connexion à l'active directory depuis un fichier JSON à <b>ldap://192.168.56.102</b> avec l'identifiant <b>administrateur</b>,connexion,*
2023-02-2 13:26:01,Utilisateur,Modification de l'utilisateur <b>Masia Antoine</b>,editUser,*
2023-02-2 13:26:09,Utilisateur,Modification de l'utilisateur <b>Masia Antoine</b>,editUser,*
2023-02-2 13:27:12,Utilisateur,Ajout de l'utilisateur <b>Doe John</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:27:12,Utilisateur,Ajout de l'utilisateur <b>Smith Jane</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:27:12,Utilisateur,Ajout de l'utilisateur <b>Johnson Bob</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:27:12,Utilisateur,Ajout de l'utilisateur <b>Brown Emma</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:27:12,Utilisateur,Ajout de l'utilisateur <b>Davis Luke</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:27:59,Utilisateur,Ajout de l'utilisateur <b>Doe John</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 13:27:59,Utilisateur,Ajout de l'utilisateur <b>Smith Jane</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 13:27:59,Utilisateur,Ajout de l'utilisateur <b>Johnson Bob</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 13:27:59,Utilisateur,Ajout de l'utilisateur <b>Brown Emma</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 13:27:59,Utilisateur,Ajout de l'utilisateur <b>Davis Luke</b> à l'unité d'organisation Sigma,addUser,*
2023-02-2 13:28:14,Utilisateur,Ajout de l'utilisateur <b>Doe John</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:14,Utilisateur,Ajout de l'utilisateur <b>Smith Jane</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:14,Utilisateur,Ajout de l'utilisateur <b>Johnson Bob</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:14,Utilisateur,Ajout de l'utilisateur <b>Brown Emma</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:14,Utilisateur,Ajout de l'utilisateur <b>Davis Luke</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:22,Utilisateur,Suppression de l'utilisateur <b>Jane Smith</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:28:23,Utilisateur,Suppression de l'utilisateur <b>Bob Johnson</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:28:24,Utilisateur,Suppression de l'utilisateur <b>Emma Brown</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:28:33,Utilisateur,Ajout de l'utilisateur <b>Doe John</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:33,Utilisateur,Ajout de l'utilisateur <b>Smith Jane</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:33,Utilisateur,Ajout de l'utilisateur <b>Johnson Bob</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:33,Utilisateur,Ajout de l'utilisateur <b>Brown Emma</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:33,Utilisateur,Ajout de l'utilisateur <b>Davis Luke</b> à l'unité d'organisation Eponia,addUser,*
2023-02-2 13:28:36,Utilisateur,Suppression de l'utilisateur <b>John Doe</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:28:37,Utilisateur,Suppression de l'utilisateur <b>Luke Davis</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:28:37,Utilisateur,Suppression de l'utilisateur <b>Jane Smith</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:28:38,Utilisateur,Suppression de l'utilisateur <b>Bob Johnson</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:28:38,Utilisateur,Suppression de l'utilisateur <b>Emma Brown</b> de l'unité d'organisation Eponia,deleteUser,*
2023-02-2 13:28:51,Utilisateur,Suppression de l'utilisateur <b>John Doe</b> de l'unité d'organisation Sigma,deleteUser,*
2023-02-2 13:28:53,Utilisateur,Suppression de l'utilisateur <b>Jane Smith</b> de l'unité d'organisation Sigma,deleteUser,*
2023-02-2 13:28:54,Utilisateur,Suppression de l'utilisateur <b>Bob Johnson</b> de l'unité d'organisation Sigma,deleteUser,*
2023-02-2 13:28:54,Utilisateur,Suppression de l'utilisateur <b>Emma Brown</b> de l'unité d'organisation Sigma,deleteUser,*
